Numero_Parada,UTM_X,UTM_Y,Longitud,Latitud
1.0,470416.038,4380271.96899999,2.6555629997247934,39.571641005305864
2.0,470324.036,4380716.036,2.6544720037910428,39.575639003790094
3.0,469994.032,4380996.991,2.6506170054804694,39.57815900311029
4.0,472597.957999999,4381435.02199999,2.6809179959250895,39.58219300102705
6.0,470454.984999999,4380236.97099999,2.6560179984139856,39.57132700560284
7.0,469609.989,4379978.99199999,2.64619200201663,39.56897300187787
8.0,468879.021052754,4380010.40152544,2.637680577855791,39.56922979145449
9.0,468570.780598632,4379971.90885644,2.6340938449367157,39.56887171801716
10.0,468109.868341566,4379677.2068224,2.62874206531436,39.566199349492166
11.0,467980.483133364,4379352.29012751,2.6272514951660546,39.563266934477866
12.0,467927.186887948,4379006.1415643,2.626647794218975,39.560146042721456
13.0,472703.977,4382588.991,2.682105002070414,39.59259399867075
14.0,467706.975889427,4378407.56493423,2.624113532422193,39.55474442619122
15.0,467681.260972797,4378091.90729762,2.6238295814603076,39.55189928658355
16.0,467238.281204077,4377844.26805748,2.618685888214306,39.54965118074633
17.0,467395.871578482,4377365.88568665,2.6205435257372782,39.54534681038053
19.0,469453.041,4380648.06799999,2.6443340040948615,39.574995997228854
20.0,469279.96,4380428.007,2.6423290046643135,39.5730069986976
23.0,467413.96,4377387.029,2.6207530027782577,39.545538005306916
25.0,467259.018999999,4377829.06599999,2.618928000022943,39.54951499716421
26.0,467868.725650187,4378264.97582534,2.626003139168826,39.553465728471984
27.0,467724.808677168,4378399.89152805,2.6243214724308377,39.55467595759064
28.0,467933.002036494,4378892.02979538,2.6267209972853354,39.5591180792237
29.0,468021.994,4379305.06799999,2.627737000546114,39.56284299813809
30.0,468240.01,4379805.041,2.6302509988737484,39.567356002427275
31.0,468409.097912604,4379919.49912562,2.632214029402018,39.56839354947166
32.0,472279.011999999,4381246.04499999,2.6772119958669447,39.58048000222309
33.0,468761.678,4379969.08,2.6363164071162535,39.568853205314376
34.0,473951.092521882,4383393.98998053,2.6965973232248173,39.599886112310024
35.0,473756.005,4383270.00299999,2.694329997196269,39.598762997086965
36.0,473499.016999999,4383066.00499999,2.691344996332556,39.596917001572194
37.0,473162.957999999,4382893.03199999,2.687438000958115,39.59534800041223
38.0,472901.978,4382734.01599999,2.6844049995000017,39.59390700305614
39.0,472446.962999999,4382392.01999999,2.679119996591621,39.590811004039885
43.0,471536.011999999,4381491.02599999,2.6685499941930853,39.58266300202393
44.0,471372.026,4381340.02799999,2.666647001483943,39.58129700241372
45.0,471128.012999999,4381125.95999999,2.663815003200511,39.57935999983603
46.0,470878.005,4380920.025,2.660913003020239,39.57749600540494
47.0,470668.021999999,4380605.069,2.658481996561749,39.57465099669381
48.0,470506.995999999,4380428.996,2.6566149978894558,39.573059000552526
49.0,470552.973999999,4380436.035,2.6571499951363298,39.573124004603564
50.0,469742.987,4380667.01499999,2.6477089946025094,39.57517699814268
52.0,469899.326477959,4380265.09516756,2.6495475024528266,39.57156108441862
53.0,469678.972999999,4380266.059,2.646981999015037,39.571562004121226
54.0,469386.009083427,4380363.68158542,2.6435666713683768,39.57243120135598
56.0,468980.989999999,4380496.01499999,2.6388450056008232,39.57360900516061
57.0,468758.038999999,4380330.99199999,2.636257001980506,39.57211400473855
58.0,468447.299197406,4380096.07692568,2.6326503698942227,39.569985972941964
59.0,468159.996999999,4379899.041,2.6293149979215213,39.56820000207855
61.0,467938.447504922,4379683.12748725,2.6267461750754277,39.5662463042492
62.0,467835.981,4379318.04899999,2.625570996606222,39.562953004642694
63.0,467722.981,4378877.025,2.6242770056614337,39.558975004012346
64.0,467608.14349848,4378695.71314527,2.6229491039231685,39.55733700153173
65.0,467438.984999999,4378105.98799999,2.6210090042185126,39.552016997246966
66.0,466759.514636946,4378118.66396935,2.6130999033336875,39.552105154818165
67.0,466601.015,4378061.063,2.6112579952176067,39.55157999756862
69.0,466329.992,4378189.98199999,2.6080970008294493,39.55273100167061
71.0,466048.026,4378251.036,2.6048120014330522,39.55327000316525
73.0,465509.961,4377929.01099999,2.598565996261351,39.55034700509745
74.0,467771.043,4380534.041,2.6247559979755866,39.573906996768045
75.0,465253.036,4377597.985,2.5955929982677657,39.54735400152063
77.0,465172.80832796,4377100.68179744,2.594685348535701,39.54286990533506
78.0,465060.424474637,4376906.54536232,2.5933876774824607,39.541116112032064
79.0,464856.750718962,4376812.25735452,2.591022449385737,39.540258234364835
80.0,470455.996755966,4380353.17681964,2.6560246034167494,39.57237409057061
81.0,467641.038,4378428.991,2.6233449957322157,39.55493499680824
82.0,467609.043,4378358.984,2.622975999426958,39.55430300519352
83.0,471183.66359089,4379256.93843797,2.664544156156385,39.5625213972415
84.0,471165.048488162,4379240.66806227,2.6643281648427277,39.56237417012324
85.0,464842.700273462,4376634.58550777,2.590868341152889,39.538656784123745
86.0,465308.914054768,4377625.55151163,2.5962418874674205,39.54760464449006
87.0,465527.959070613,4377926.69168584,2.5987755936691928,39.5503268307307
89.0,466059.016,4378268.967,2.6049390015825553,39.553432001427744
90.0,466195.961999999,4378228.967,2.606535005043134,39.553076997055676
91.0,466707.206000814,4378095.28006145,2.612492246181857,39.55189243066217
92.0,466889.5,4378128.5,2.6146123355184403,39.55219880674872
93.0,464698.502407053,4376358.24864397,2.5892050027992104,39.53616099018455
94.0,467498.001999999,4378145.02799999,2.621694002689981,39.55237099730423
95.0,467616.979999999,4378695.00999999,2.62305199564635,39.55733099962635
96.0,467732.000999999,4378876.98699999,2.6243820033581007,39.558975001002814
